,Specs,Score
14258,the,2878.2819801420524
9981,of,1197.5115631188123
7937,is,1141.6877186926301
1390,and,1100.871146460505
3458,cia,970.9312157022155
15899,to,696.3027292438128
16872,us,606.3079540770096
15690,this,591.66389351458
7312,in,577.4376985755575
14023,that,504.18595299327256
14432,the cia,487.8465055329062
6224,god,452.3330913307866
1157,all,411.01776602436837
17174,war,401.59701145595335
5699,flu,386.8813825064572
18177,you,375.8165298237142
9801,not,370.976345098956
10232,of the,365.06217048099745
2983,by,357.16191994497365
2403,bankers,341.612135647832
4357,deep state,322.1707628899683
6270,government,320.7252510055693
17202,was,313.7713916552947
1269,aluminum,284.877629950495
16661,turkey,279.52512041744717
4356,deep,278.4829804148298
3650,com,277.56728677352044
13419,state,276.7632701155486
5032,elite,275.80741199119916
6242,gold,257.7699760210396
17865,with,256.4684323797426
351,a,253.2191713759639
1880,are,247.88906491026592
3456,church,247.41234629511342
10717,our,239.04512761727
13757,syrian,236.0614771403611
6104,gates,229.99465732799396
13756,syria,229.34127749058098
2058,as,224.16766151322406
17702,who,221.07911055528632
2045,article,219.97037438118815
2044,art,216.38178817881786
3957,control,215.65755540599164
14533,the deep state,214.53123724099214
5754,for,213.58797112143003
9749,no,212.78855629749017
8164,it,212.49558556215266
13739,swine,205.52079207920795
7830,intelligence,200.3289082271456
1673,and the,200.01173777544892
14532,the deep,194.27653155940595
6876,his,194.18501744198062
2437,be,191.17347869452163
9892,now,186.80795353044482
16364,to the,177.73061667068046
8153,israel,177.16286844201665
15581,they,176.76221305951123
15347,the us,175.2551482279851
12771,secret,173.3938193819382
9312,military,172.28001642959057
284,5g,168.67376539483217
17546,what,168.15092196895006
3022,by the,167.09531951248766
9686,never,165.13163366336636
3283,central,162.28733498349837
17754,why,161.60499228633802
6132,geoengineering,160.89119224422444
7071,i,160.5763475552758
8355,jesus,159.57000015666128
9330,mind,159.36019204935573
9917,nuclear,159.06157178217825
12408,russia,158.960396039604
14196,that the,156.3036057193773
10401,on,152.97444083293362
12926,shall,152.45813737623766
9960,occult,151.7265023377338
12639,satanic,148.8048679867987
2627,being,148.5753500809907
2831,brain,145.62163067599863
18000,world,139.87176886201283
2406,banks,139.6736490237809
18099,www,139.36639353590533
6809,here,138.3110045379538
2720,bigfoot,137.00368714106338
9565,my,135.30450066931178
1086,agenda,134.1805280528053
4941,ebola,133.5073439456015
17442,web,132.87245999309235
5891,foreign,129.9269717211447
8211,it is,129.43833906695758
16644,truth,126.66569547579763
5995,from,125.95890359517111
13490,stone,125.75848354066176
5885,forces,125.14125053809731
10981,pedophilia,122.58783737962837
6772,hell,122.16531285248782
11352,power,121.95718677585847
17505,were,121.30484406548767
7536,in the,119.97913567586076
9332,mind control,116.95692674320625
10734,out,116.11229244018156
8369,john,115.46076708964
2404,banking,115.05699398064807
4187,cult,114.95710177635412
4303,death,114.8116297957921
6929,hollywood,114.07380738073809
13156,so,113.77182525237822
13642,summary,113.31520918860178
1284,america,112.86470621243484
2401,bank,111.82211450311699
9053,many,111.52431312861876
17433,weapons,110.73746287128715
15323,the truth,109.85568909528567
15440,their,109.73564260235682
12371,rothschild,109.69246366125975
14546,the devil,109.69246366125975
5485,false flag,108.97488139438946
5673,flag,108.80881877250226
2711,bible,108.8022896039604
15694,this article,108.40488345709572
5053,emissions,108.4015415606618
1288,american,106.5595372037204
17117,vitamin,105.67015817435403
5441,fact,104.38448844884489
15584,they are,103.17094261976649
2718,big pharma,102.66089767221403
17201,wars,102.54356136218463
17062,video,101.45090759075907
15368,the video,100.56404950495049
4527,devil,100.41980760576058
4683,do,100.17357673267334
7938,is a,98.5945282028203
3459,cia and,97.84375
4474,destroy,97.83787723724295
6073,fusion,97.33827423440022
13208,soldiers,96.64504950495052
5844,for the,96.51625138008409
8326,its,96.2580055671707
17787,will,96.16492312943798
15712,this is,95.90515229866936
15493,then,95.68102556524309
10569,only,95.50453093713384
8978,mainstream,95.2711266243812
3450,christian,93.98298267326732
16624,truly,93.76402024530813
13915,ted,93.47797592259226
10818,own,91.45836671817472
3229,catholic,91.07762449039024
13343,spirit,90.89232673267328
5723,folks,90.87873349834985
8698,let,90.84544776593049
