,Specs,Score
13964,the,5866.572130872548
1335,and,2776.0956643772797
9770,of,2759.182601998018
15617,to,1834.1871140907533
7694,is,1739.862373602075
7088,in,1511.1239814911462
5998,god,957.548335246843
3327,cia,935.3393481311393
16582,us,920.260400561296
13736,that,895.7374228766324
15400,this,861.7784562058391
2904,by,802.3466543310336
10003,of the,766.9882619212797
17878,you,762.6227272432956
1805,are,648.4287424305854
319,a,614.8832586023948
16918,was,614.3040433922521
1103,all,580.2392039800995
1971,as,574.7344933817573
16897,war,539.598814858709
17574,with,497.928264260777
5541,for,491.7563915888126
9592,not,488.8237753589747
14123,the cia,471.5605051664753
6020,gold,451.90591501423785
4840,elite,441.39864875208156
15275,they,419.8858292522533
17704,world,416.7475691035717
15034,the us,414.5493647859458
7936,it,407.5801026332437
1595,and the,404.5226072928939
10498,our,403.1483714896365
17414,who,399.3448483295123
6048,government,393.13349775339833
5782,from,383.9345361527288
3475,com,371.74346128421905
2346,be,370.9620300755652
5488,flu,368.44751314961974
13149,state,362.7304140816428
2311,bankers,352.90267775342403
7307,in the,340.456086958077
6658,his,339.4820389530785
16080,to the,334.1918653179601
10169,on,332.5685532344119
4174,deep state,317.23233027644307
9544,no,306.94583908052675
8146,jesus,304.80078241272275
11122,power,297.90112740539234
6856,i,295.0458665560173
2929,by the,290.69919056711865
7927,israel,288.6040801907622
15122,their,279.6718824653192
17256,what,278.04404986020285
16377,turkey,277.82787043801966
17803,www,274.1545976411648
17219,were,266.5014792581044
1227,america,261.7904892411392
9142,mind,256.2469715213799
4173,deep,251.27926498392083
13474,syrian,251.2091925850437
3325,church,250.94240189584625
7993,it is,250.510870694978
2531,being,248.1610567850403
9121,military,247.9552285370457
13473,syria,241.34767295120082
1212,aluminum,238.8889739337501
9688,now,233.49361943389678
3781,control,228.63876313273775
12125,russia,228.61409734544063
6310,have,224.35157707570067
2314,banks,222.72686992388492
14212,the deep state,218.81397933409875
1957,art,218.75035131031623
8864,many,214.08409165972037
3181,central,213.62083134879848
2620,bible,209.94992008284368
17060,we,209.8951487902674
7587,intelligence,209.54230423415825
9373,my,204.48435603537771
13458,swine,203.51893994743386
16357,truth,200.0082656268914
5680,foreign,199.23400535782622
6002,gods,199.08083120562517
14211,the deep,197.76760991422975
6583,here,196.4908645767596
12131,s,194.25694961725628
5073,evil,192.5656408224365
10282,one,190.50000291295387
17367,which,190.17685960441702
1033,agenda,189.40762852404646
13901,that the,185.49371705787755
3679,consciousness,183.60352510949528
10595,own,183.4644401640874
12878,so,181.30781825836186
12362,satanic,180.34953437938515
15011,the truth,175.6000480356837
12490,secret,173.0700544992029
4492,do,172.58022967249454
9757,occult,172.30807500956755
9485,never,171.33333853230218
7631,into,170.04184908659488
14263,the elite,169.5302768210231
3318,christ,168.03768682574656
15137,them,167.78774314631778
5878,gates,166.5709323206453
9143,mind control,166.52315346345196
15278,they are,166.34182823693018
17470,why,165.22049253852072
3302,china,165.11125457914181
9873,of god,161.98317812646172
15264,these,160.76913742731003
10511,out,160.65477716073877
4126,death,160.58084869207764
6834,humanity,160.26763529830953
17500,will,158.62975996582384
1958,article,157.86303099885188
7875,is the,156.19889025253926
12507,see,153.60414276999796
6629,him,152.9469799589272
2312,banking,152.56280137772677
6716,hollywood,152.32828856410947
5456,flag,152.29746047462055
