,Specs,Score
14503,the,2993.000567463021
10147,of,1469.283301424619
1382,and,1362.95985843923
8062,is,1310.42220071257
16187,to,784.791512276151
17173,us,734.7219315579938
7398,in,664.672254117994
6328,god,611.3536742743854
3472,cia,603.23512964319
15971,this,542.7738647561143
14278,that,493.4070212701902
5104,elite,427.98890679159257
1879,are,412.6656372954966
1158,all,377.96119742752586
2998,by,374.4815168770228
5797,flu,358.28668377016743
18162,with,352.26337771017916
15615,the us,337.7052232706136
10404,of the,332.89493702681267
9965,not,322.91633421540826
2061,as,317.5145148766959
18477,you,316.090249410251
10912,our,303.1023899591665
4413,deep state,299.13340758180254
3676,com,286.216560655403
15845,they,281.95260284794097
342,a,277.5735339207429
4412,deep,268.70838493210056
1263,aluminum,265.9256505425492
18006,who,264.74973287971454
14667,the cia,260.11938245323836
8302,israel,242.8257634064006
5844,for,230.93968797988904
17491,war,229.56074043032564
8313,it,225.59631451944045
6204,gates,223.0599537164606
9497,mind,217.604408152531
17523,was,213.89335358474096
2045,art,213.00165884238186
6374,government,212.62957062768157
6349,gold,208.80814524504348
2461,be,208.19323297730665
14762,the deep state,207.6146226763711
9918,no,207.08174658891002
14761,the deep,206.25149554274222
16943,truth,205.295332132412
15588,the truth,204.11994798885587
1672,and the,203.31637297421327
13655,state,203.13158344769928
2047,article,201.6113336291664
10127,occult,199.84991119729682
13993,swine,195.2314447277082
18296,world,191.1356304136911
18400,www,189.7348418713651
6089,from,189.1211594283438
10083,nuclear,188.4816463635456
6963,his,188.2850252538682
13391,so,185.70889806334714
2647,being,183.16662842550414
7943,intelligence,183.13811353196027
8508,jesus,182.32627033021774
17847,what,181.15886654883536
5380,evil,179.19348080828632
9209,many,176.7722049437184
2734,bible,170.8827920209177
14819,the elite,166.49492151409873
8363,it is,164.41586191664442
3885,consciousness,163.8670989995254
10056,now,161.74418131451756
16668,to the,160.0216822432903
6332,gods,159.28601168238575
15708,their,157.6782192618888
12862,satanic,156.26360169821186
6235,geoengineering,151.26939662937014
7637,in the,150.14951829826566
3999,control,148.87850744274107
13012,secret,144.17842940991264
9499,mind control,142.71852943306868
13169,shall,141.31776998166515
12062,reality,139.43570152162965
12629,russia,138.78103768737145
3038,by the,137.94008316484786
14441,that the,137.3546025783678
11556,power,136.04250468342636
6891,here,132.79201097212461
7020,hollywood,132.56649075731875
9476,military,129.6597251325657
15848,they are,128.41283450294426
2739,big pharma,126.29842847005864
10268,of god,125.6858584861771
10758,only,125.31128531448165
5594,family,124.15452903316663
17428,vitamin,123.49169617594752
8247,is the,123.46238076360224
15223,the occult,122.38576779026218
11007,own,122.15953155836823
2738,big,120.15835036818785
3444,china,120.01743899172462
14603,the bible,119.46474661280284
3538,climate,117.70458546564117
11173,pedophilia,117.51657565958388
8063,is a,117.04009107873352
4356,death,116.87688116641165
9856,never,116.00027323205457
1084,agenda,115.26894169316813
10813,or,114.59756352238506
7142,humanity,114.47346533185093
5539,fact,114.17277758967425
1277,america,114.09008245665119
13030,see,113.99300930668788
12601,roy,112.35912919390286
8523,john,112.35224025251047
12785,said,111.85014687295218
10588,on,111.78798335640136
9135,mainstream,111.4167000760207
2841,brain,109.92775068776007
10931,out,108.89755389271312
3463,christ,108.26745739719956
11287,pharma,107.37080531393477
13896,summary,106.9647197131749
4301,dark,106.34536712004184
12591,rothschild,106.20155796471477
17326,venezuela,103.73592642544097
10128,occult elite,102.61943989017428
6940,him,102.28808406054542
18089,will,101.51999971902359
15993,this is,101.1920159200184
18574,zionist,101.02129902046727
17954,which,100.75093217109945
6637,have,99.72625314541511
9705,msm,99.63841517634535
6171,fusion,99.4506929073915
3425,children,98.30672046366303
7119,http,98.18375665244697
10708,one,98.16531457313158
4243,cult,98.00839723437105
4745,do,96.12457259747752
2580,been,94.81768871348338
4876,dr,94.62047078801308
15724,them,93.63397806944587
17522,wars,92.80291513265303
9175,man,92.78085852397558
17749,weapons,92.75807898192834
17664,we,92.67340401102834
2796,body,91.84288416955411
10858,order,91.78765541997045
11424,please,91.77775996921659
8512,jewish,91.30850763527584
5985,foreign,90.88183215146688
10488,of this,90.79600637221043
5125,emissions,90.27203135353079
1281,american,89.70331024441799
15975,this article,89.3696584280012
3067,cabal,88.95506944830294
5979,forces,88.77189268194722
18212,with the,88.58938797839181
5585,false flag,88.20967297778655
6848,heaven,87.94568113571964
9136,mainstream media,87.45833182414464
5309,even,87.20112678281761
16918,true,86.88422934384724
5347,every,86.18978356710168
7120,http www,86.17644709188431
6755,he is,86.11339151029847
15805,there is,85.92912639406309
11170,pedophile,85.44139601045885
5940,for the,85.34401970725946
14174,ted,84.98955494304757
6557,has,84.06261526346705
9744,my,83.92573085399843
18060,why,83.61475445115033
6121,from the,83.39864264044832
8571,just,82.68683506499528
17339,very,82.28743419773853
17844,western,82.00821646575503
16944,truth about,81.75785851123989
15785,there,81.6395429768213
2427,banking,80.86609442256322
18257,word,80.66581178370672
7993,into,80.61661152495151
15756,then,80.26725496944964
6393,gps,79.23678453467883
17814,were,79.02019683083005
12838,same,79.00789634036502
11169,pedogate,78.77895475591262
13164,sexual,78.34028571100616
15117,the mainstream,77.83803759248792
4344,dead,77.77209117565637
8858,let s,77.77209117565637
2164,assassination,77.080540792015
9048,lord,76.85896236981065
15129,the masses,76.04642152710048
3268,cdc,75.84561528687493
12077,reason,75.60615586067534
5766,flag,75.23245885443403
15835,these,74.9529320677658
6329,god and,74.62546816479403
8855,let,73.72055425707883
4586,devil,73.10674392266881
6068,free,72.97903122131623
16242,to be,72.92859751840183
17667,we are,72.71004356374664
5292,etc,72.59740453177189
4782,does,72.48393549006116
8474,its,72.40370403439312
13612,spy,72.11402806791166
8891,life,71.89787173738193
1381,ancient,71.85836399607143
9679,mother,71.834852584743
17864,what is,71.7267461422313
8762,law,71.38899400472404
8303,israeli,71.35926471653434
12552,rituals,71.30494869702292
16822,toxic,70.11241373038298
8185,is not,69.91042332276878
9201,mankind,69.71719165346954
13306,silicon,69.71719165346954
17029,ukraine,69.23527397528498
4532,destroy,69.09197654707674
13584,spirit,68.98558733828638
6161,funded,68.93215889172413
7726,in us,68.93215889172413
15932,things,68.4363707092575
17074,unicef,68.4254860220208
5199,engineering,68.26340091214821
842,above,68.15957503886604
3451,chinese,67.96184459120661
17157,upon,67.90454277819785
7121,https,67.80170870544887
14359,that is,67.79671445179072
4735,disturbing,67.3096021393006
9259,masses,67.3096021393006
9558,modern,67.24675795032131
17045,under,67.23343991918202
12861,satan,66.8682317116152
17177,us and,66.8030074776446
7126,human,66.02765432911761
3546,climate change,65.57374287979003
13893,suicide,65.50650973315611
7268,if,65.40168229140207
4006,controlled,65.34975352327785
6072,freedom,65.34975352327785
5770,flat,65.1604729440194
17199,usa,65.01582593990594
16740,today,64.92101353621811
8150,is in,64.42221886189483
13443,solar system,64.36858443883668
14859,the fact,64.35292097780433
6066,fraud,63.69285136172199
152,2013,63.67608870342437
4362,deaths,63.075215870699424
11171,pedophiles,62.685752681396465
15174,the msm,62.68539325842697
15589,the truth about,62.68539325842697
17091,universe,62.618608669713225
14778,the devil,62.488877369652194
9729,murder,62.269559283389256
16138,time,62.26203125573519
3495,civilization,62.13951308935494
8625,kill,61.579735807029195
9662,most,61.41115944548888
15462,the secret,61.38042002077077
13320,sin,61.165724004525515
3750,communist,61.1010169865718
9453,middle east,61.00408836507691
2745,bill gates,60.96038682303751
15616,the us and,60.96038682303751
8670,known,60.81942169675169
14547,the american people,60.50775865174807
17905,when,60.316186636215434
16128,thus,60.209255784504386
3464,christian,59.99315392126056
2742,bill,59.978877165359165
9504,mineral,59.826681516360516
15439,the same,59.70338105901751
9577,money,59.63150665607293
7168,i,59.59457003519009
12635,s,59.593852861081395
18556,your,59.32225317431782
7831,industry,59.25287990658264
1086,agents,59.12554100348217
3792,completely,59.08191041567609
14620,the brain,58.89127124483494
2840,boys,58.874264336160365
5639,fbi,58.712063705395444
5088,electrical,58.689750927834766
14899,the flu,58.580632427783975
15430,the rothschild,57.94219385002237
4210,crimes,57.92556825924936
16697,to this,57.77017636361076
12560,robert,57.75693233729692
6307,globalist,57.62057946538834
10928,our world,57.62057946538834
1185,all the,57.20117419098148
1284,american people,56.9757360004572
11436,podesta,56.92167374728384
12053,real,56.798166037337786
5542,fact that,56.76107500505171
3915,conspiracy,56.58795700200171
4131,coup,56.58704536518813
9270,matrix,56.58704536518813
4537,destruction,56.382117787296316
9773,nation,56.317980430010365
5986,foreign policy,56.13342825859145
13519,source,56.0670014073718
13317,simply,55.92207687553532
3180,capitalist,55.88759866403559
13904,sun,55.673964633292464
8497,japanese,55.65569616573429
4194,creation,55.637137392562934
4002,control of,55.54119751654183
15619,the usa,55.16720786595178
4056,corporate,55.1152409261611
1080,agencies,54.97076569472679
6228,genesis,54.96869032905856
13339,sins,54.96869032905856
7318,illegal,54.81294392911816
12523,rights,54.80164990836695
1561,and many,54.48051917537207
7865,information,54.43758550357736
10656,on the,54.321938941059436
1482,and free,53.7303370786517
4500,depopulation,53.7303370786517
12863,satanism,53.7303370786517
1797,any,53.48037378718166
14860,the fact that,53.1444588585329
2646,beijing,53.11136544131061
1773,another,53.102965709425334
6331,god s,53.04042782155932
15145,the middle east,53.04042782155932
8240,is that,52.6003689872142
1304,an,52.524587270195475
10029,note,52.35104601201171
1710,and us,51.99633832865756
15633,the very,51.74415375031389
14546,the american,51.69898935718906
10034,nothing,51.340171911887865
7080,how,51.31413383910292
9707,much,51.193235443567744
17276,vaccines,51.10083090356233
6333,goes,51.060065174125654
16776,too,50.90032018027601
17261,vaccine industry,50.74531835205994
18340,worship,50.697614351400325
4675,disclosure,50.61478686602395
14748,the dark,50.61478686602395
15911,they were,50.52803776846184
4067,corruption,50.41591739095602
11330,pieces,50.37241723375285
17369,video,50.35448466172467
6413,great,50.30616799845132
5801,flu vaccine,50.30006145601145
12501,rich,50.169129604084
1810,anyone,50.15112852973935
15170,the mother,49.72534645369575
10980,over,49.62335662604932
11912,putin,49.41663938479244
4422,defense,49.25694320962278
5105,elites,49.00419861718552
12194,regime,48.968865079253206
6837,heart,48.849564431874505
1933,are not,48.802072435120536
2694,below,48.75456895944062
3652,collapse,48.667954266702395
15585,the true,48.667954266702395
8905,light,48.61926718735637
1286,americans,48.39645473147707
7862,influenza,48.205495668340895
15149,the military,48.16406946546657
2014,arkansas,48.1393242477928
14528,the above,48.11436707879268
12535,rise of,47.9704227933402
16057,those,47.94365688668684
2206,astronomers,47.87662536008159
12551,ritual,47.82341270400707
3886,consciousness and,47.760299625468164
18480,you are,47.74790912010472
15680,the word,47.640524626525504
8483,itself,47.503210071475905
6722,he,47.36117494286481
2135,as we,47.29721190863945
804,about,47.27150807597229
3470,church,47.14247821295654
16064,those who,47.01090378862361
9943,non,46.886391884673664
14007,system,46.83273874601758
15364,the public,46.60720596633401
10566,official,46.59417323666107
18243,women,46.432619582542486
2545,because,46.324711812524015
14456,that they,46.20839128451565
5780,flesh,46.15013435213512
12487,revelations,46.15013435213512
15089,the light,46.15013435213512
16041,this video,46.15013435213512
10790,operations,46.140777940983234
10300,of israel,46.05585656991914
10867,org,45.91698279701608
18547,you will,45.4155094713791
18347,would,45.40055573938977
4211,criminal,45.29620795256352
13438,soil,45.21623353584008
856,abuse,45.21530769604814
15685,the world,45.188596702166514
15118,the mainstream media,45.1237642983234
4163,covert,45.06294259471201
959,adaptation,45.044275758858376
2784,blood,44.93539664784313
3168,cannot,44.91206509683101
15618,the us is,44.82430462549166
13168,shadow,44.51004412614723
18081,wife,44.40965512055979
16923,truly,44.39459276220978
2795,bodies,44.280215203790966
8278,is what,44.09595837458751
1968,are the,43.952552323169684
4382,deception,43.9366734891526
15215,the nuclear,43.9366734891526
9223,many other,43.78216103908629
17785,welch,43.550815558343785
2763,bird,43.45859280780968
5361,everything,43.44624834849856
5772,flat earth,43.38627544125822
14000,symbols,43.30698295887983
9325,means,43.297519255259665
2919,bush,43.29237420416265
