,Specs,Score
8255,is,495.3344837876414
6501,geoengineering,455.2536141875457
3687,climate,375.3617729709307
15908,this,308.5023246585086
5285,emissions,303.0046301310047
18307,you,302.1765126759351
3621,cia,286.93134347041695
5811,false,277.820081925575
3445,change,274.5643352985852
3704,climate change,265.3688044929495
9432,media,262.8445646424478
14493,the,254.1798876632325
8494,it,252.70781815338987
14301,that,251.3964031699475
17111,us,248.92838063947295
16886,truth,233.60060341292828
1247,all,222.16306224951694
8662,jesus,210.35685858895948
5988,flag,207.378260561551
6626,god,200.68727670594535
15826,they,190.60894179208142
10047,not,183.99851322779958
13447,socialist,183.1990534314745
2184,article,181.57697239473868
9278,man,174.95897989796515
15759,theory,174.73564680601027
13594,spirit,174.16372129979345
7371,i,169.0792028121706
17838,who,165.94248334760948
5758,faal,165.83018867924528
13515,sorcha,165.83018867924528
13516,sorcha faal,165.83018867924528
2744,being,164.63173656663042
5774,fact,149.04027977952848
12304,religion,143.80044496840208
3283,carbon,142.7691484733382
4148,conspiracy,139.12365040095904
9536,military,137.44704965557668
9994,no,136.7435856328418
7059,health,135.63261996001626
16086,timeline,133.28645970413274
11846,propaganda,132.27856448792997
5263,elite,131.1410620718246
5401,engineering,130.9883983098167
13609,spraying,130.6227909748451
14670,the cia,129.1097141867586
16876,trump,127.41104274490856
5152,earthquakes,125.13950229540946
10134,nuclear,125.07771249224486
3907,com,121.654588625313
17696,what,120.41146330483829
13416,so,119.6589425916456
17326,war,119.4882993493995
15583,the truth,118.67428625404396
4212,control,111.99316657183553
17174,vaccines,111.88803981916598
10094,note,111.76249777630842
6477,gates,110.80676282870681
9241,mainstream,108.2689714344188
15912,this article,108.06959542463004
4734,destroy,102.69237017970576
6446,gas,101.53642163658893
13209,shall,101.43280824873288
6653,gospel,99.51779357808495
17631,weather modification,99.49811320754718
9242,mainstream media,99.07602427562756
10976,our,94.29492661814899
9635,money,92.95528020176694
3634,citizens,92.6023524259527
13080,secret,91.74935650695446
18122,world order,91.62994752588821
18211,wrong,91.58480081233617
10913,order,91.30055854370264
