,Specs,Score
13390,the,599.0656651882958
1221,aluminum,537.981597728349
5847,gates,522.2458712411207
1346,and,461.2104995796934
3180,cdc,423.9142744526059
7598,is,397.7263944705413
9456,of,349.48175939007893
14677,this,323.16779927601374
8789,mercury,299.84067636746266
15772,us,292.15559626882407
13508,the cdc,289.6137778444461
15550,truth,286.68475348247347
1117,all,266.84900582936734
13185,that,250.39256167743673
14859,to,244.85383937870074
15432,toxic,244.27448581898
11860,said,241.89764036952576
17240,you,238.93944409881053
3506,com,236.7239595373446
6920,in,233.3255134644925
8593,mark,213.3914295309612
5844,gardasil,199.96214016920672
2908,by,193.68786278061506
5428,flu,192.5230855717706
16347,war,191.82143553588844
14312,the truth,186.27649604283584
17333,zika,179.69333772179257
2679,bill,173.08212705317632
9487,of aluminum,166.3283582089552
17031,women,164.27334388178983
2682,bill gates,163.32304807620187
8498,mainstream,160.44584096530124
4650,dr,157.61457945288413
12926,swine flu,156.49032887671905
5225,fact,152.9157304077111
12925,swine,149.50147267195192
11407,report,148.65095951723112
16207,video,147.621486741357
2676,big pharma,146.1852892476158
16291,vitamin,143.44242723715152
17170,wuhan coronavirus,141.937829106105
5296,fda,140.39644880010889
9300,not,136.52876603353067
2790,brain,132.79786696654168
9200,never,131.78112454244018
5985,god,131.54535594159086
10178,our,126.79819217702666
3983,covid 19,126.39269655343465
2675,big,125.77915230899643
859,acetaminophen,122.47978699467484
16834,why,120.18227955698893
4135,death,118.3031482566725
13914,the mainstream,118.24783786261324
1066,agenda,117.92456576120284
17168,wuhan,117.63332791373475
1236,american,117.38691161077477
12622,stated,115.89951144127441
8787,merck,115.52211479200022
85,19,114.64044437270833
16630,what,114.44553093128751
6018,government,111.03760008163295
3982,covid,110.02075843975307
5686,foundation,109.10075251881298
8717,media,108.75535078914058
10955,propaganda,108.21723646539436
5726,freedom,108.02632945570474
3847,coronavirus covid,106.01104436701826
3848,coronavirus covid 19,106.01104436701826
13708,the fda,105.82742068551714
14755,thompson,105.06502662566567
9258,no,105.00122237553444
13700,the fact,104.48548430691899
1232,america,103.84927623190579
8499,mainstream media,103.45605640141004
14445,the wuhan coronavirus,103.45605640141004
6691,humanity,103.1407100394901
5227,fact that,102.35323349971165
14389,the virus,102.05269454880477
1988,article,101.98788431249243
14575,they,100.22183119823062
3962,cov 2,99.51641291032277
10112,order,98.72219305482636
11930,sars cov 2,98.52611163763942
1833,are,96.980202197431
14639,thimerosal,96.212673277997
9220,new world,95.044776119403
7438,ingredients,94.92938861933087
7765,is the,94.10604190186189
8550,mandatory,93.58697510916033
11929,sars cov,92.62184612466552
7508,intelligence,92.34890190436579
6665,http,92.23207707058347
9129,natural,91.810610366782
9394,now,90.68197498776334
15968,vaccine industry,90.30165754143854
14449,their,88.7336998239771
10532,pharma,88.17251193991714
8039,just,87.61894434957773
14444,the wuhan,86.9156817381973
2196,attack,86.29477100563878
13701,the fact that,85.81973027586557
10732,power,85.4589684307325
10619,please,84.55978514847487
3961,cov,84.1118167456949
8808,metal,83.33893347333684
5962,globalist,83.1641791044776
7545,into,82.51683156485694
6451,heavy,82.13371190444144
16764,who,80.68013398448174
7248,in us,80.48789698003318
3388,cia,80.19402985074626
8842,military,80.1768140357355
5412,fish,79.45306901903317
8180,law,79.1723168079202
3287,chemical,79.06814389109728
5849,gates foundation,79.01656089789341
2596,being,78.75986040276007
16356,warning,78.2315340492208
1994,as,78.076032129249
9433,obama,77.56518812970322
4025,crimes,77.22388059701493
13323,that the,77.05347854645629
8285,lies,76.96459911497786
10276,oxford,75.54573364334108
5330,fertility,75.41341033525838
16409,was posted,75.41341033525838
16923,with,75.27522245128094
971,adverse,74.50515586094072
5026,even,74.34308454192626
7353,industry,72.82983438222318
5210,f,72.76050157067881
10007,only,72.75813114840068
10766,prepare for change,71.28358208955223
15551,truth about,71.28358208955223
8777,men,71.21643041076027
4563,documents,71.17802798011127
3289,chemicals,71.14205355133879
14729,this report,71.11581704636956
6666,http www,69.72475061876546
8809,metals,69.72475061876546
771,aborted,68.82674112307353
873,act,68.55773964279176
16154,vax,68.54597614940371
16545,weapons,68.04432610815269
1222,aluminum in,68.04170104252606
8548,mandated,66.92129033995081
5508,for change,66.52570614265358
4120,dead,66.48646216155404
17171,www,66.29032985824645
15503,trials,66.28196954923871
3052,cancer,66.24368380293845
16627,west,65.85740155552081
1789,apparently,65.8493212330308
9221,new world order,65.34328358208954
10524,pfc,65.34328358208954
13915,the mainstream media,65.34328358208954
14694,this entry,65.34328358208954
17096,world order,65.34328358208954
5054,ever,64.84395758542612
9194,neurological,64.18304328575957
3877,corporations,63.96038090607436
14417,the west,63.774514362859065
3435,clinical,63.75922174297452
10711,posted,63.589008017883366
12396,so,63.571739293482345
8301,like,63.495338612198786
6659,hpv,63.47462671208418
11660,rockefeller,63.20408010200254
15435,toxins,63.20408010200254
17083,world,62.723622643281715
5653,formaldehyde,62.3337606167427
16052,vaccines,62.306414903774325
8565,many,62.23240020338743
4846,elite,62.15971937759983
10656,police,62.00760852354641
5714,fraud,61.719442576228346
4066,d,61.20527233610948
4188,deep state,60.60386618361111
9871,on,60.38802592246338
4645,download,60.1735943398585
3188,cell,59.790209755243886
10191,out,59.49192201591873
5056,every,59.43624409194302
14313,the truth about,59.40298507462687
8867,mineral,59.2222275556889
13754,the gates,59.2222275556889
4026,criminal,58.96228288060142
8687,measles,58.374667093950066
14365,the vaccine industry,58.1420785519638
4024,crime,58.08961974049351
3398,citizens,58.02792157432802
10682,population,57.7158394556194
3885,corruption,57.30104200880882
7816,it,56.66217822479221
4250,depopulation,56.43283582089553
10141,original story,56.43283582089553
14741,this video,56.43283582089553
16906,william thompson,56.43283582089553
8609,mass,55.97189410867347
14683,this article,55.90692667316682
7998,jewish,55.600465011625275
17043,words,55.51848513193961
17325,your own,55.31662864742349
5085,evil,55.23996561452498
3372,chinese,55.0662266556664
4193,defense,54.95986237684111
773,about,54.482948612176855
1990,article was,54.435460886522165
3471,cochrane,54.435460886522165
8066,kenya,54.435460886522165
5437,flu shots,54.433443594710546
8919,moderna,54.11108816181944
4580,dollar,53.82534563364085
2328,back in,53.8043673314055
11708,s,53.76265207829854
9704,of the,53.64696617415432
4938,entire,53.557253931348285
16958,with links,53.46268656716417
16959,with links to,53.46268656716417
3345,children s health,53.373171829295735
5332,fetal,53.28373209330233
12054,secret,53.05106745315692
16552,web,52.67006675166879
8721,medical,52.61251539275701
10505,permission to,52.34329558238956
6486,here,52.03703456517298
14385,the very,51.77686260338327
12202,shall,51.72802820070502
4951,environmental,51.726421190832795
3135,catholic,51.577625551749904
3565,communist,51.577625551749904
3835,copyright,51.577625551749904
8284,lie,51.577625551749904
9862,oil,50.80094502362558
16644,what is,50.77979449486237
3373,chloroquine,50.56345717153567
9631,of mercury,50.56345717153567
197,2020 permission,50.492537313432834
198,2020 permission to,50.492537313432834
3837,copyright 2020 permission,50.492537313432834
5811,fully granted,50.492537313432834
5812,fully granted with,50.492537313432834
6044,granted with,50.492537313432834
6045,granted with links,50.492537313432834
8352,links to original,50.492537313432834
10399,patriot,50.492537313432834
10506,permission to reprint,50.492537313432834
11439,reprint,50.492537313432834
11440,reprint fully,50.492537313432834
11441,reprint fully granted,50.492537313432834
15171,to original story,50.492537313432834
15227,to reprint,50.492537313432834
15228,to reprint fully,50.492537313432834
6536,his,50.183229817899594
15433,toxicity,50.094463946964524
8821,microsoft,50.05049653268358
2122,astrazeneca,49.88326438930204
3384,christian,49.452748818720465
1739,antibodies,49.375543016894
1611,and the,49.31369313644607
10504,permission,49.303682592064796
4617,doses,49.25621957914218
11208,real,49.1712977959584
13678,the entire,48.78426733395608
3836,copyright 2020,48.77184429610741
6452,heavy metals,48.72842974920527
10267,own,48.45561509408106
9431,nutrition,48.20093002325057
4634,doubt,48.15886286987683
12696,story,48.09720917180232
5742,from,47.979655057706935
8079,kill,47.82134928373209
10245,over,47.713792924525556
3813,controversial,47.6898590272976
894,actually,47.64604928376222
7991,jefferson,47.58877409435236
13532,the cia,47.5223880597015
4996,establishment,47.452018653407514
3700,connection,47.243664727981844
794,about the,46.625940929422114
12336,simply,46.60063168245871
14685,this article was,46.56912401070896
14333,the university,46.50941793679071
7862,it is,46.44651471791382
11615,right,46.4412383505464
5483,for,46.20269279269692
15372,today,46.108435403192765
16365,was,45.99202990549826
11619,rights,45.949932619283224
4275,destroy,45.89758733330035
3448,clinton,45.88891022275557
8788,merck s,45.88891022275557
2722,black,45.87261578091176
6362,he said,45.84054966703681
2947,by the mainstream,45.81721209696908
3739,constitution,45.81721209696908
15170,to original,45.81721209696908
3365,china,45.36343290657736
