,Specs,Score
14119,the,7391.087865949685
9913,of,4334.594283050795
1332,and,3709.9990993204738
15899,to,3041.218256984658
7768,is,2906.794140072317
13901,that,1889.8804238239995
1809,are,1797.8411051236053
7169,in,1752.343711851382
18124,you,1746.969779981252
15655,this,1609.6639598746235
6128,god,1291.070697637777
8055,it,1282.178850402166
16839,us,1167.1572214501914
302,a,1165.2909597397272
2963,by,1127.9842965351022
17304,we,1050.3327454641026
1995,as,1014.4077390804658
15504,they,990.6048527489704
10150,of the,933.2663217428097
9726,not,922.9782033513367
1107,all,888.0861373379698
6422,have,843.6798598419712
2394,be,837.1138121765947
17810,with,834.9126695164302
17485,what,791.0366238199518
10653,our,768.80654679758
6938,i,657.6613696209852
17153,was,655.4543143653558
5643,for,637.1661806842203
10536,or,636.3105824021372
5338,fake,598.8268806930839
18229,your,575.3697454386513
8114,it is,561.6572210008347
5876,from,552.1712928307055
8996,many,548.4555984741729
17663,who,536.510747304766
2512,been,526.9170325977242
7375,in the,520.0996877225306
15327,their,500.90234464501737
9675,no,483.36695046038454
15421,there,482.7675405404647
2683,bible,482.02802617965085
8275,jesus,480.56330883612696
2576,being,469.52620837472534
15493,these,468.97997704981856
15238,the us,459.98475720810325
17941,world,457.971417345761
17607,which,452.3981151705965
16619,truth,448.2034363674344
17746,will,434.38039158965137
7055,if,424.7229813910586
17132,war,415.8696480698754
6655,here,414.20940434470884
4878,elite,413.3116937099709
17308,we are,406.0879719087101
7990,is the,399.67037493581745
10318,on,397.9162578031112
10016,of god,392.3621675894429
16357,to the,389.7898662551106
6357,has,380.28364723617165
15342,them,371.29094821682844
10426,one,367.833360164852
11744,reality,362.612154229417
12620,see,350.4877722793226
13001,so,347.3291997692473
11259,power,346.36071691160805
6153,gold,343.59311801553804
17450,were,342.87848178548154
775,about,336.4178876041071
9829,now,334.88240164242006
16973,very,331.10357693552385
4473,do,329.40054924572513
5065,even,328.4623210446306
6905,human,327.50976153164544
3055,can,326.65541193665547
10677,out,325.06092824247355
9254,military,323.40566641602106
3500,com,316.3436151378903
5349,false,314.4834969019737
3344,christ,312.4729674772126
16694,ufo,307.7634634787078
10479,only,302.8124767388564
3677,consciousness,299.15117820663755
2992,by the,298.07658849298934
15508,they are,295.86005124025405
17548,when,295.7541066307114
9275,mind,292.691189752506
1254,an,287.19550340544447
1592,and the,287.1712686516174
15943,to be,285.0731892764721
17906,word,267.7154442754992
9509,my,264.2857459509232
18129,you are,261.65504445938336
8922,mainstream,258.93039177355104
12248,s,256.12428667448154
7694,into,255.6214585365563
4942,energy,249.32091078513568
10897,people,249.271053141306
17718,why,248.20927959998227
12442,same,246.37225701457476
5100,every,245.98101015485042
18056,www,245.65095833522474
10724,over,245.46822345722063
6851,how,245.27348827483678
2882,but,243.08711697556862
7769,is a,241.12118423575183
6181,government,240.1341721411732
6221,great,239.2627533641031
5544,flat,238.90916914338285
15209,the truth,238.145657942492
8328,just,237.89017046130135
6915,humanity,235.69503375496032
8968,man,235.0198504636478
16824,upon,234.57884310019898
14425,the elite,232.64122137404578
10754,own,228.87212585667513
15765,those,227.893580891533
15450,there is,222.78360247355775
1188,also,221.28673627646822
16605,true,221.13421512146073
5137,evil,218.66568312044316
1716,any,218.638917972245
16785,up,218.58203880791237
6435,have been,216.92070181600909
13227,spiritual,216.27271086013113
17341,we have,214.07336209167084
12757,shall,212.4924962753247
3782,control,212.07534942648903
5848,free,211.56807886078948
9647,news,211.05507712417918
1217,aluminum,209.36618166204505
15379,then,207.40969236250885
14060,that the,206.60308102038422
1233,america,205.64859551702455
15683,this is,204.0977202181973
6729,his,202.5040364547999
1984,article,200.52445222820813
15025,the same,200.0404591574499
17911,words,199.13617165486247
11736,real,197.7410450971807
10594,order,196.1909816848326
1030,against,195.68576025964043
18215,you will,194.2654242256953
1865,are not,192.3344321409172
17859,with the,191.53061025500156
18000,would,188.38158376471392
17504,what is,188.33002319696317
9102,me,187.9356335069587
9384,more,187.8951621047629
2479,because,187.01361979666217
5046,etc,186.50804192752946
8407,know,186.25619422666202
6707,him,185.6099172355432
15295,the word,183.7338016282449
5309,fact,182.40571317864382
8842,lord,181.18868740637586
2586,beings,180.46944236589965
9355,money,180.45983389240556
15853,time,179.92180799201964
7086,if you,179.53244828707514
16430,today,179.3900898148031
9144,media,179.09738451357012
6290,had,178.60434020144203
10621,other,178.22096274200436
5350,false flag,175.34904986506135
14223,the bible,175.25050418408404
2148,at,174.44736445382054
18112,yet,173.88094923393876
7921,is not,173.57601268928144
10229,of this,172.740444007366
13074,some,172.610735762283
6766,history,172.12261200118945
5911,from the,172.00828159491402
12138,rights,171.47764865044542
7565,information,170.66350841085415
13984,that is,169.61641733201202
3354,church,168.6231133227513
9898,occult,167.779030794515
16912,vaccine,166.87885348030522
5846,fraud,166.49127125219877
6136,gods,165.31517210565858
16913,vaccines,164.1037095660299
8276,jesus christ,163.1536928545861
9467,movie,162.2320451345484
11120,plasma,161.72709659269975
13127,soul,160.73304250245002
11035,physical,160.50235688245544
6896,http,160.46655349677582
5114,everything,160.4302983000514
1039,agenda,159.10739615562207
2061,as the,157.12509842672983
14774,the movie,156.33696919470643
6003,gender,155.54244795136842
6134,god s,154.37463804441398
